"CBSA","Metro","AdultPop","LI_CP","LI_LE","LI_HI","LI_NW","DBLY","TRPLY","LI_CP_SH","LI_LE_SH","LI_HI_SH","LI_NW_SH","DBLY_SH","TRPLY_SH","Race"
88888,"100 Metro Total",104762430,6523995,6615460,6928459,6167794,15572375,8080335,0.06227,0.06315,0.06613,0.05887,0.14864,0.07713,"All"
10420,"Akron, OH",335863,32100,15223,15363,25089,51965,27387,0.09557,0.04533,0.04574,0.0747,0.15472,0.08154,"All"
10580,"Albany-Schenectady-Troy, NY",405965,12468,16835,9860,24961,40173,19643,0.03071,0.04147,0.02429,0.06149,0.09896,0.04839,"All"
10740,"Albuquerque, NM",425867,73283,36448,36469,38418,99236,60232,0.17208,0.08559,0.08563,0.09021,0.23302,0.14143,"All"
10900,"Allentown-Bethlehem-Easton, PA-NJ",397908,18966,16227,19600,20188,46231,21802,0.04766,0.04078,0.04926,0.05074,0.11619,0.05479,"All"
12060,"Atlanta-Sandy Springs-Roswell, GA",2839743,105973,181738,275329,168115,445880,228688,0.03732,0.064,0.09696,0.0592,0.15701,0.08053,"All"
12260,"Augusta-Richmond County, GA-SC",245565,27824,16758,20060,25545,50364,28285,0.11331,0.06824,0.08169,0.10403,0.20509,0.11518,"All"
12420,"Austin-Round Rock, TX",1040018,63304,60435,78572,43104,145402,74945,0.06087,0.05811,0.07555,0.04145,0.13981,0.07206,"All"
12540,"Bakersfield, CA",383502,77378,56144,34357,36250,106224,70838,0.20177,0.1464,0.08959,0.09452,0.27698,0.18471,"All"
12580,"Baltimore-Columbia-Towson, MD",1372907,79428,55815,37281,75074,147802,76701,0.05785,0.04065,0.02715,0.05468,0.10766,0.05587,"All"
12940,"Baton Rouge, LA",391004,0,23847,33489,24134,55875,23056,0,0.06099,0.08565,0.06172,0.1429,0.05897,"All"
13820,"Birmingham-Hoover, AL",550327,74214,39953,50667,55275,114286,71780,0.13485,0.0726,0.09207,0.10044,0.20767,0.13043,"All"
14260,"Boise City, ID",323045,0,21851,29122,22447,50497,18638,0,0.06764,0.09015,0.06949,0.15632,0.05769,"All"
14460,"Boston-Cambridge-Newton, MA-NH",2425507,54908,90960,36840,123847,219868,72130,0.02264,0.0375,0.01519,0.05106,0.09065,0.02974,"All"
14860,"Bridgeport-Stamford-Norwalk, CT",468813,21377,16212,20006,18764,45707,23612,0.0456,0.03458,0.04267,0.04002,0.0975,0.05037,"All"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",546060,44029,30667,15560,43231,80330,42859,0.08063,0.05616,0.0285,0.07917,0.14711,0.07849,"All"
15980,"Cape Coral-Fort Myers, FL",287101,0,23047,32553,21528,52548,22368,0,0.08027,0.11339,0.07498,0.18303,0.07791,"All"
16700,"Charleston-North Charleston, SC",360346,0,19753,27330,19519,47987,17534,0,0.05482,0.07584,0.05417,0.13317,0.04866,"All"
16740,"Charlotte-Concord-Gastonia, NC-SC",1222863,45608,84134,109238,78156,190865,97835,0.0373,0.0688,0.08933,0.06391,0.15608,0.08,"All"
16860,"Chattanooga, TN-GA",253835,19082,21997,20842,18997,47047,25364,0.07517,0.08666,0.08211,0.07484,0.18534,0.09992,"All"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4799176,306487,260447,301524,271172,666245,354687,0.06386,0.05427,0.06283,0.0565,0.13882,0.07391,"All"
17140,"Cincinnati, OH-KY-IN",1021914,52624,49065,41215,64620,125250,62719,0.0515,0.04801,0.04033,0.06323,0.12256,0.06137,"All"
17460,"Cleveland-Elyria, OH",996241,104161,58837,46800,83334,164645,94269,0.10455,0.05906,0.04698,0.08365,0.16527,0.09462,"All"
17820,"Colorado Springs, CO",317365,14260,13769,13400,17372,36919,17270,0.04493,0.04339,0.04222,0.05474,0.11633,0.05442,"All"
17900,"Columbia, SC",375782,0,25982,34088,28381,57513,27648,0,0.06914,0.09071,0.07553,0.15305,0.07357,"All"
18140,"Columbus, OH",954597,73324,49145,47632,58891,131092,73846,0.07681,0.05148,0.0499,0.06169,0.13733,0.07736,"All"
19100,"Dallas-Fort Worth-Arlington, TX",3457463,206592,273570,339914,154312,557360,314759,0.05975,0.07912,0.09831,0.04463,0.1612,0.09104,"All"
19380,"Dayton, OH",376061,32947,23204,23802,34998,68235,35546,0.08761,0.0617,0.06329,0.09306,0.18145,0.09452,"All"
19660,"Deltona-Daytona Beach-Ormond Beach, FL",270565,16488,17298,28872,25375,55286,25350,0.06094,0.06393,0.10671,0.09379,0.20434,0.09369,"All"
19740,"Denver-Aurora-Lakewood, CO",1486398,15853,72537,66261,59821,147054,58276,0.01067,0.0488,0.04458,0.04025,0.09893,0.03921,"All"
19780,"Des Moines-West Des Moines, IA",329432,0,13095,10402,11390,27013,6894,0,0.03975,0.03158,0.03457,0.082,0.02093,"All"
19820,"Detroit-Warren-Dearborn, MI",2084036,161833,126999,113772,176339,335771,179162,0.07765,0.06094,0.05459,0.08461,0.16112,0.08597,"All"
21340,"El Paso, TX",364463,85456,50307,57790,30839,108257,77578,0.23447,0.13803,0.15856,0.08461,0.29703,0.21286,"All"
23420,"Fresno, CA",434759,127952,72425,50621,42322,142965,99509,0.29431,0.16659,0.11643,0.09735,0.32884,0.22888,"All"
24340,"Grand Rapids-Wyoming, MI",436607,30146,23313,21582,24934,59843,32949,0.06905,0.0534,0.04943,0.05711,0.13706,0.07547,"All"
24660,"Greensboro-High Point, NC",384381,16686,26498,37137,27570,70465,32213,0.04341,0.06894,0.09662,0.07173,0.18332,0.0838,"All"
24860,"Greenville-Anderson-Mauldin, SC",442925,0,43809,44366,40408,83307,38563,0,0.09891,0.10017,0.09123,0.18808,0.08706,"All"
25420,"Harrisburg-Carlisle, PA",274367,0,15689,13233,15811,32473,10459,0,0.05718,0.04823,0.05763,0.11836,0.03812,"All"
25540,"Hartford-West Hartford-East Hartford, CT",586986,22453,23099,12715,30274,55966,24879,0.03825,0.03935,0.02166,0.05158,0.09534,0.04238,"All"
26420,"Houston-The Woodlands-Sugar Land, TX",3229126,218392,274531,357257,146057,552442,334580,0.06763,0.08502,0.11064,0.04523,0.17108,0.10361,"All"
