"CBSA","Metro","AdultPop","LowInc","ConcPov","LimitEd","NoInsure","NonWorking","LowIncSh","ConcPovSh","LimitEdSh","NoInsureSh","NonWorkingSh","Race"
88888,"100 Metro Total",104762430,20208223,18489464,15298195,"16607188","10206686",0.1929,0.17649,0.14603,"0.15852","0.09743","All"
10420,"Akron, OH",335863,64930,102753,33085,"33180","39261",0.19332,0.30594,0.09851,"0.09879","0.1169","All"
10580,"Albany-Schenectady-Troy, NY",405965,60538,48702,42598,"31271","42891",0.14912,0.11997,0.10493,"0.07703","0.10565","All"
10740,"Albuquerque, NM",425867,114587,201512,67099,"76489","59892",0.26907,0.47318,0.15756,"0.17961","0.14064","All"
10900,"Allentown-Bethlehem-Easton, PA-NJ",397908,63365,53331,45677,"48016","35850",0.15925,0.13403,0.11479,"0.12067","0.0901","All"
12060,"Atlanta-Sandy Springs-Roswell, GA",2839743,572256,305925,397322,"586107","284430",0.20152,0.10773,0.13991,"0.20639","0.10016","All"
12260,"Augusta-Richmond County, GA-SC",245565,57250,91658,38761,"43952","41974",0.23314,0.37325,0.15784,"0.17898","0.17093","All"
12420,"Austin-Round Rock, TX",1040018,192191,224407,141910,"193828","78474",0.1848,0.21577,0.13645,"0.18637","0.07545","All"
12540,"Bakersfield, CA",383502,121866,199385,105457,"77768","52692",0.31777,0.51991,0.27498,"0.20278","0.1374","All"
12580,"Baltimore-Columbia-Towson, MD",1372907,197161,257213,155273,"117305","129998",0.14361,0.18735,0.1131,"0.08544","0.09469","All"
12940,"Baton Rouge, LA",391004,78013,0,58200,"75752","37101",0.19952,0,0.14885,"0.19374","0.09489","All"
13820,"Birmingham-Hoover, AL",550327,127703,224927,83199,"87521","84500",0.23205,0.40872,0.15118,"0.15903","0.15355","All"
14260,"Boise City, ID",323045,69859,0,48979,"55965","35414",0.21625,0,0.15162,"0.17324","0.10963","All"
14460,"Boston-Cambridge-Newton, MA-NH",2425507,334437,171597,229721,"128158","208198",0.13788,0.07075,0.09471,"0.05284","0.08584","All"
14860,"Bridgeport-Stamford-Norwalk, CT",468813,61792,73472,50587,"65773","39106",0.13181,0.15672,0.1079,"0.1403","0.08341","All"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",546060,103052,120312,59960,"40522","67810",0.18872,0.22033,0.1098,"0.07421","0.12418","All"
15980,"Cape Coral-Fort Myers, FL",287101,71504,0,53874,"74693","42158",0.24906,0,0.18765,"0.26016","0.14684","All"
16700,"Charleston-North Charleston, SC",360346,69243,0,47941,"67330","33838",0.19216,0,0.13304,"0.18685","0.0939","All"
16740,"Charlotte-Concord-Gastonia, NC-SC",1222863,248879,132705,179205,"225978","127359",0.20352,0.10852,0.14655,"0.18479","0.10415","All"
16860,"Chattanooga, TN-GA",253835,56073,55972,44868,"43874","31338",0.2209,0.22051,0.17676,"0.17284","0.12346","All"
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4799176,869288,821419,657250,"722288","442458",0.18113,0.17116,0.13695,"0.1505","0.09219","All"
17140,"Cincinnati, OH-KY-IN",1021914,176009,161009,116167,"113399","108952",0.17223,0.15756,0.11368,"0.11097","0.10662","All"
